Landsat Product Identifier L2,Date Acquired,Scene Cloud Cover L1,Scene Center Latitude,Scene Center Longitude
LC08_L2SP_201035_20200704_20200913_02_T1,2020/07/04,33.49,36.04321,-5.09743
LC08_L2SP_201035_20200720_20200911_02_T1,2020/07/20,1.82,36.04321,-5.09239
LC08_L2SP_201035_20200805_20200916_02_T1,2020/08/05,13.26,36.04303,-5.08127
LC08_L2SP_201035_20200821_20200905_02_T1,2020/08/21,0.47,36.04347,-5.08464
LC08_L2SP_201035_20200906_20200918_02_T1,2020/09/06,9.06,36.04311,-5.09661
LC08_L2SP_201035_20200922_20201006_02_T1,2020/09/22,28.12,36.04345,-5.10417
LC08_L2SP_201035_20201008_20201016_02_T1,2020/10/08,10.12,36.04302,-5.10598
LC08_L2SP_201035_20201024_20201106_02_T1,2020/10/24,1.79,36.04325,-5.10096
LC08_L2SP_201035_20201109_20210317_02_T1,2020/11/09,44.3,36.04303,-5.0868
LC08_L2SP_201035_20201125_20210316_02_T1,2020/11/25,65.66,36.04308,-5.10007
LC08_L2SP_201035_20201211_20210313_02_T1,2020/12/11,84.4,36.0433,-5.10904
LC08_L2SP_201035_20201227_20210310_02_T1,2020/12/27,0.17,36.04324,-5.10547
LC08_L2SP_201035_20210112_20210308_02_T1,2021/01/12,0.92,36.04345,-5.09087
LC08_L2SP_201035_20210128_20210305_02_T1,2021/01/28,16.39,36.04342,-5.09247
LC08_L2SP_201035_20210213_20210301_02_T1,2021/02/13,30.17,36.04306,-5.10185
LC08_L2SP_201035_20210301_20210311_02_T1,2021/03/01,91.28,36.04336,-5.103
LC08_L2SP_201035_20210317_20210328_02_T1,2021/03/17,33.25,36.04339,-5.0952
LC08_L2SP_201035_20210402_20210409_02_T1,2021/04/02,26.12,36.04322,-5.11768
LC08_L2SP_201035_20210418_20210424_02_T1,2021/04/18,9.81,36.0434,-5.13247
LC08_L2SP_201035_20210504_20210508_02_T1,2021/05/04,64.46,36.04317,-5.13576
LC08_L2SP_201035_20210520_20210528_02_T1,2021/05/20,36.97,36.04336,-5.11674
LC08_L2SP_201035_20210605_20210614_02_T1,2021/06/05,78.1,36.04319,-5.11957
LC08_L2SP_201035_20210621_20210629_02_T1,2021/06/21,19.81,36.04347,-5.11214
LC08_L2SP_201035_20210707_20210713_02_T1,2021/07/07,23.26,36.04341,-5.09385
LC08_L2SP_201035_20210723_20210729_02_T1,2021/07/23,28.09,36.0434,-5.08681
LC08_L2SP_201035_20210808_20210819_02_T1,2021/08/08,0.66,36.04349,-5.09326
LC08_L2SP_201035_20210824_20210901_02_T1,2021/08/24,87.14,36.04333,-5.09234
LC08_L2SP_201035_20210909_20210916_02_T1,2021/09/09,14.21,36.04321,-5.09585
LC08_L2SP_201035_20210925_20211001_02_T1,2021/09/25,11.2,36.04306,-5.09698
LC08_L2SP_201035_20211011_20211019_02_T1,2021/10/11,55.13,36.04307,-5.11388
LC08_L2SP_201035_20211027_20211104_02_T1,2021/10/27,34.9,36.04325,-5.11649
LC08_L2SP_201035_20211112_20211125_02_T1,2021/11/12,20.32,36.04345,-5.10115
LC08_L2SP_201035_20211128_20211208_02_T1,2021/11/28,1.04,36.04314,-5.10274
LC09_L2SP_201035_20211206_20230505_02_T1,2021/12/06,3.42,36.04335,-5.13952
LC08_L2SP_201035_20211214_20211223_02_T1,2021/12/14,28.02,36.04301,-5.10646
LC09_L2SP_201035_20211222_20230502_02_T1,2021/12/22,90.75,36.04323,-5.1158
LC08_L2SP_201035_20211230_20220105_02_T1,2021/12/30,15.37,36.04311,-5.09229
LC09_L2SP_201035_20220107_20230502_02_T1,2022/01/07,4.17,36.04342,-5.11414
LC08_L2SP_201035_20220115_20220123_02_T1,2022/01/15,50.78,36.04333,-5.10024
LC09_L2SP_201035_20220123_20230430_02_T1,2022/01/23,73.06,36.04332,-5.12428
LC08_L2SP_201035_20220131_20220205_02_T1,2022/01/31,0.93,36.04306,-5.09909
LC09_L2SP_201035_20220208_20230428_02_T1,2022/02/08,31.5,36.04303,-5.132
LC08_L2SP_201035_20220216_20220223_02_T1,2022/02/16,0.05,36.04307,-5.1052
LC09_L2SP_201035_20220224_20230426_02_T1,2022/02/24,33.18,36.04335,-5.11127
